RUS_959;볼린;;;;;;;;;;;;x
druze;드루즈;;;;;;;;;;;;x
PROV911;마안;;;;;;;;;;;;x
AUS_733;프리울리;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PAP_741;에밀리아로마냐;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
new_world_semidesert;관목지;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
new_world_desert;사막;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
new_world_boreal;타이가;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
new_world_montane_tundra;알프스 툰드라;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
new_world_arctic;툰드라;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
new_world_mountain;산악 초원;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
new_world_jungle;밀림;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
new_world_plains;초원;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
new_world_small_island;섬;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
arid_climate;사막 기후;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
CANAL_6;영국해협;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
GRE_837;그리스;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV2669;손드리오;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV8;벨루노;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV10;페스카라;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3320;퓌해얘르비호;Lake Pyhajarvi;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
PROV3319;이소칼라호;Lake Iso-Kalla;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
PROV3318;사이마호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3317;페이옌네호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3316;오울루호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3315;세고제로호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3314;스토르시왼호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3313;실얀호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3312;옐마렌호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3311;네이호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3310;달라이누르호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3309;나마크호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3308;칼우스호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3307;키야가스호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3306;우브스호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3305;후브스굴호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3304;자이산호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3303;알라콜호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3302;한카호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3301;훙쩌호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3300;색림착호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3299;셰르귀호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3298;엘오드나호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3297;멜리르호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3296;엘제리드로;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3295;타이호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3294;므웨르호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3293;루크와호;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
