REMOVE_RANDOM_ECO_REFORMS_EFFECT; 경제개혁(쬟$VAL$?)을 철회합니다.\n;Suppression de 쬟$VAL$? r?ormes ?onomiques.\n;쬟$VAL$? ?onomische Reformen entfernen.\n;;;;;;;;;;;x
REMOVE_RANDOM_MIL_REFORMS_EFFECT; 군사개혁(쬟$VAL$?)을 철회합니다.\n;Suppression de 쬟$VAL$? r?ormes militaires.\n;쬟$VAL$? milit?ische Reformen entfernen.\n;;;;;;;;;;;x
party_loyalty_focus;애당심;;;;;;;;;;;;x
fascist_focus;쬨파쇼주의쬦 애당심 ;Loyaut?envers le parti 쬨fasciste? ;Parteiloyalit? gegen?er 쬨fascist? ;;;;;;;;;;;x
reactionary_focus;쬨반동주의쬦 애당심 ;Loyaut?envers le parti 쬨r?ctionnaire? ;Parteiloyalit? gegen?er 쬨reactionary? ;;;;;;;;;;;x
conservative_focus;쬨보수주의쬦 애당심 ;Loyaut?envers le parti 쬨conservateur? ;Parteiloyalit? gegen?er 쬨conservative? ;;;;;;;;;;;x
socialist_focus;쬨사회주의쬦 애당심 ;Loyaut?envers le parti 쬨socialiste? ;Parteiloyalit? gegen?er 쬨socialist? ;;;;;;;;;;;x
communist_focus;쬨공산주의쬦 애당심 ;Loyaut?envers le parti 쬨communiste? ;Parteiloyalit? gegen?er 쬨communist? ;;;;;;;;;;;x
liberal_focus;쬨자유주의쬦 애당심 ;Loyaut?envers le parti 쬨lib?al? ;Parteiloyalit? gegen?er 쬨liberal? ;;;;;;;;;;;x
anarcho_liberal_focus;쬨아나르코자본주의쬦 애당심 ;Loyaut?envers le parti 쬨libertaire? ;Parteiloyalit? gegen?er 쬨anarcho-liberal? ;;;;;;;;;;;x
EVTNAME90000;$CB_TARGET_NAME$의 위협;;;;;;;;;;;;x
EVTDESC90000;모두가 알다시피, $CB_TARGET_NAME$은(는) 우리에게 무언가를 얻어내려 합니다. 도발적인 공격 개시는 이제 시간 문제입니다. 따라서 선수를 쳐서 자위권을 행사하는 것이 매우 당연한 순리입니다. 다행히도 그 더러운 계획에 대한 자세한 보고서가 최근 언론에 노출되면서 대중들이 우리의 계획에 힘을 실어주었습니다.;;;;;;;;;;;;x
EVTOPTA90000;그들이 우리를 향해 달려오고 있다!;;;;;;;;;;;;x
EVTNAME90001;$CB_TARGET_NAME$에 대한 임무;;;;;;;;;;;;x
EVTDESC90001;$CB_TARGET_NAME$ 군복을 입고 국경을 넘으려던 우리 병사들이 꽤 당황스런 실수로 인해 $CB_TARGET_NAME$ 당국에 체포됐습니다. 침략을 정당화하기 위해 국경침범 사건을 벌였다는 소문은 전혀 근거가 없지만, 당장은 이 뜨거운 화재에 기름을 끼얹지 않는 것이 현명할 것입니다.;;;;;;;;;;;;x
EVTOPTA90001;무슨 말을 하는 건가?;;;;;;;;;;;;x
EVTNAME90002;$CB_TARGET_NAME$의 폭정;;;;;;;;;;;;x
EVTDESC90002;정말 오랫동안 수많은 이들이 $CB_TARGET_NAME$의 해로운 영향권 하에서 신음하고 있습니다. 세계공동체를 위해 $CB_TARGET_NAME$이(가) 저지른 악행의 증거를 만국에 밝히고, $CB_TARGET_NAME$의 영향권에 속하는 국가들의 행복을 위해 그들을 품 안에 품어야 합니다.;;;;;;;;;;;;x
EVTOPTA90002;그들을 구원하겠다!;;;;;;;;;;;;x
EVTNAME90003;$CB_TARGET_NAME$의 폭정;;;;;;;;;;;;x
EVTDESC90003;$CB_TARGET_NAME$의 악행에 관한 진실된 사실을 밝혔음에도, $CB_TARGET_NAME$은(는) 자국의 영향권에 속한 빈국들을 도울 계획이 없어보입니다.;;;;;;;;;;;;x
EVTOPTA90003;어리석군!;;;;;;;;;;;;x
EVTNAME90004;$CB_TARGET_NAME$의 보호;;;;;;;;;;;;x
EVTDESC90004;우리와 같은 강대국의 보호가 없다면 $CB_TARGET_NAME$에 아무일도 벌어지지 않을 것입니다. 단기간 동안 그들이 반감을 가질 수도 있겠지만, 그럼에도 그들을 보호하려면 영향권에 편입해야만 합니다. After all, if they any sense they would be Great powers too.;;;;;;;;;;;;x
EVTOPTA90004;우리가 여기서 당신들을 돕겠소.;;;;;;;;;;;;x
EVTNAME90005;$CB_TARGET_NAME$에서의 낭패;;;;;;;;;;;;x
EVTDESC90005;$CB_TARGET_NAME$을(를) 영향권에 편입해 그들을 도우려 했지만, 정작 그들은 해당 행위에 격분했습니다. 모든 관련자들에게는 불미스러운 일이지만, 그들의 행동은 오히려 국제적인 여론을 우리의 번영에 동참해달라는 (강제적인) 요구에 반하게 만들었습니다.;;;;;;;;;;;;x
EVTOPTA90005;옳은 결정이다.;;;;;;;;;;;;x
EVTNAME90006;$CB_TARGET_NAME$ 제국주의의 종말;;;;;;;;;;;;x
EVTDESC90006;왜 $CB_TARGET_NAME$만이 1등급 식민지를 독차지해야 합니까? 이는 완벽히 불공평한 처사입니다. 그것이 전부입니다! 그들은 아마도 식민지를 제대로 개발하지도, 원주민들을 교육시키지도 못할겁니다! 무언가 해야 합니다. 우리에게도 식민지를 개발할만한 자격이 충분하다는 사실을 보여줘야 합니다!;.;;;;;;;;;;;x
EVTOPTA90006;좋은 결정이다.;;;;;;;;;;;;x
EVTNAME90007;식민지에서의 차질;;;;;;;;;;;;x
